Charging Station ID,station_id,Charging Station Location,Charger Type,State,lat,lon
Station_391,Houston_391,Houston,DC Fast Charger,TX,29.883656079074733,-95.77999139582187
Station_428,San Francisco_428,San Francisco,Level 1,CA,37.7330035182043,-122.48428628189619
Station_181,San Francisco_181,San Francisco,Level 2,CA,37.788376545699684,-122.41172808201233
Station_327,Houston_327,Houston,Level 1,TX,30.03530774062291,-95.73044893389647
Station_108,Los Angeles_108,Los Angeles,Level 1,CA,34.12242488455669,-118.39207984489236
Station_335,San Francisco_335,San Francisco,DC Fast Charger,CA,37.726452874644885,-122.42571749057986
Station_162,Houston_162,Houston,Level 2,TX,29.985658274006695,-95.79480099225755
Station_302,Los Angeles_302,Los Angeles,Level 2,CA,34.223782513691326,-118.313948908556
Station_493,Los Angeles_493,Los Angeles,Level 1,CA,34.32218849693441,-118.49833678199256
Station_452,Chicago_452,Chicago,DC Fast Charger,NY,41.678025795785864,-87.89937912172994
Station_206,Los Angeles_206,Los Angeles,DC Fast Charger,CA,34.25087133812585,-118.36209972400289
Station_78,San Francisco_78,San Francisco,DC Fast Charger,CA,37.79685539279293,-122.40324291412898
Station_16,San Francisco_16,San Francisco,Level 2,CA,37.745424125265004,-122.43167349899628
Station_327,Houston_327,Houston,Level 2,TX,30.03530774062291,-95.73044893389647
Station_96,Houston_96,Houston,Level 1,TX,29.997642798551798,-95.3051841981086
Station_147,Los Angeles_147,Los Angeles,DC Fast Charger,CA,34.26010948520201,-118.37555040591906
Station_2,New York_2,New York,DC Fast Charger,NY,40.79296588957242,-74.24296361364316
Station_10,Chicago_10,Chicago,Level 2,NY,41.73343829301714,-87.81845705528711
Station_434,New York_434,New York,Level 1,NY,40.76334431103369,-74.05474901440765
Station_125,Los Angeles_125,Los Angeles,Level 2,CA,33.873535584331925,-118.19230616026663
Station_81,Los Angeles_81,Los Angeles,Level 2,CA,34.12122300041029,-118.35934318710983
Station_485,New York_485,New York,Level 1,NY,40.915495040773735,-73.89240014168608
Station_140,Chicago_140,Chicago,DC Fast Charger,NY,41.8683493949476,-87.65246201458424
Station_326,New York_326,New York,DC Fast Charger,NY,40.85242632568162,-73.81216005218772
